TreeID,long,lat,species,latin species,year planted,diameter canopy,dbh,height,biomass
340,390019.1366,5816649,Rot-Buche,Fagus sylvatica,1901,15,94.85634608,25,7674.378472
341,390021.3025,5816654,Linde,Tilia spec.,1955,5,95.49296586,12,151.5115586
342,390035.6456,5816656,Rot-Buche,Fagus sylvatica,1887,14,100.2676141,24,8641.336135
343,390037.8471,5816651,Linde,Tilia spec.,1947,8,58.25070917,17,45.04040084
344,390041.605,5816648,Linde,Tilia spec.,1954,7,49.65634224,17,30.44115817
345,390063.4066,5816654,Feld-Ahorn,Acer campestre,1956,10,49.65634224,18,46.29184774
346,390078.6199,5816655,Spitz-Ahorn,Acer platanoides,1938,13,60.16056849,18,75.87630171
347,390062.4546,5816659,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1961,9,45.20000384,18,541.3059205
348,390058.0647,5816659,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1961,10,66.52676621,18,1196.106287
349,390052.8481,5816676,Linde,Tilia spec.,1955,12,52.20282133,20,34.41632976
350,390053.9824,5816676,Linde,Tilia spec.,1955,7,39.78873577,16,17.67385698
351,390063.4416,5816700,Spitz-Ahorn,Acer platanoides,1959,10,44.88169395,17,35.68153259
352,390070.4945,5816681,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1904,12,95.49296586,20,2510.571106
353,390075.5888,5816685,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1890,12,105.0422624,18,3052.680421
354,390077.1014,5816701,Spitz-Ahorn,Acer platanoides,1956,10,46.47324338,15,39.03142451
355,390082.2223,5816704,Götterbaum,Ailanthus altissima,1939,10,58.88732894,15,1317.814382
356,390068.1831,5816720,Ahornblättrige Platane,Platanus acerifolia,1925,16,79.57747155,18,2833.967219
357,390086.5911,5816715,Trompetenbaum,Catalpa bignonioides,1955,12,89.12676813,12,2380.144553
358,390111.0761,5816698,Amerikanische Rot-Eiche,Quercus rubra,1994,6,25.46479089,14,166.8254046
359,390108.7539,5816687,Hainbuche,Carpinus betulus,1974,8,31.83098862,15,500.6407703
360,390105.0214,5816676,Spitz-Ahorn,Acer platanoides,1953,10,49.65634224,17,46.29184774
361,390108.3657,5816667,"Berg-Ahorn, Weiss-Ahorn",Acer pseudoplatanus,1967,5,39.152116,14,25.10175089
362,390101.5956,5816670,Gemeine Eibe,Taxus baccata,1983,7,24.19155135,8,125.6706669
363,390107.1082,5816672,Spitz-Ahorn,Acer platanoides,1939,7,59.8422586,17,74.84680055
364,389987.7695,5816675,Robinie,Robinia pseudoacacia,1929,,65.25352667,4,443.2247959
365,389843.0429,5816515,Silber-Ahorn,Acer saccharinum,1951,10,53.79437077,15,39.71485725
366,389846.9225,5816511,Vogelbeere,Sorbus aucuparia,1979,4,26.73803044,13,245.3984632
367,389852.8319,5816499,Linde,Tilia spec.,1947,12,55.70423008,18,40.36070666
368,389851.6449,5816491,Gemeine Rosskastanie,Aesculus hippocastanum,1996,4,21.64507226,8,101.1447127
369,389864.8192,5816492,Ahorn,Acer spec.,2001,2,19.73521294,5,13.17676151
370,389873.1347,5816505,Gemeine Rosskastanie,Aesculus hippocastanum,1953,8,49.01972247,18,1100.668081
371,389874.5491,5816509,Linde,Tilia spec.,1955,12,52.20282133,18,34.41632976
372,389885.2323,5816504,Gemeine Rosskastanie,Aesculus hippocastanum,1889,16,102.1774735,17,4366.022112
373,389884.6563,5816513,Silber-Linde,Tilia tomentosa,1973,5,33.10422816,16,21.25376919
